DATE,close
2/13/13,0.2901
2/14/13,0.2901
2/15/13,0.2901
2/18/13,0.2891
2/19/13,0.2891
2/20/13,0.2891
2/21/13,0.2881
2/22/13,0.2881
2/25/13,0.2866
2/26/13,0.2866
2/27/13,0.2871
2/28/13,0.2871
3/1/13,0.2841
3/4/13,0.2831
3/5/13,0.2811
3/6/13,0.2796
3/7/13,0.2806
3/8/13,0.2801
3/11/13,0.2801
3/12/13,0.2811
3/13/13,0.2801
3/14/13,0.2801
3/15/13,0.2801
3/18/13,0.2801
3/19/13,0.2821
3/20/13,0.2841
3/21/13,0.2841
3/22/13,0.2846
3/25/13,0.2831
3/26/13,0.2836
3/27/13,0.2836
3/28/13,0.2826
4/2/13,0.2821
4/3/13,0.2811
4/4/13,0.2804
4/5/13,0.2794
4/8/13,0.2794
4/9/13,0.2781
4/10/13,0.2771
4/11/13,0.2771
4/12/13,0.2776
4/15/13,0.2776
4/16/13,0.2771
4/17/13,0.2761
4/18/13,0.2761
4/19/13,0.2761
4/22/13,0.2751
4/23/13,0.2756
4/24/13,0.2756
4/25/13,0.2756
4/26/13,0.2756
4/29/13,0.2741
4/30/13,0.2731
5/1/13,0.2731
5/2/13,0.2731
5/3/13,0.2751
5/7/13,0.2751
5/8/13,0.2751
5/9/13,0.2751
5/10/13,0.2751
5/13/13,0.2751
5/14/13,0.2741
5/15/13,0.2741
5/16/13,0.2741
5/17/13,0.2736
5/20/13,0.2731
5/21/13,0.2741
5/22/13,0.27375
5/23/13,0.27275
5/24/13,0.27275
5/28/13,0.27275
5/29/13,0.27575
5/30/13,0.27465
5/31/13,0.27525
6/3/13,0.27325
6/4/13,0.27395
6/5/13,0.27445
6/6/13,0.27425
6/7/13,0.27515
6/10/13,0.27415
6/11/13,0.27225
6/12/13,0.27325
6/13/13,0.27325
6/14/13,0.27275
6/17/13,0.27325
6/18/13,0.27225
6/19/13,0.27175
6/20/13,0.27255
6/21/13,0.27275
6/24/13,0.27675
6/25/13,0.2761
6/26/13,0.2756
6/27/13,0.274
6/28/13,0.2731
7/1/13,0.2731
7/2/13,0.2729
7/3/13,0.2739
7/4/13,0.2709
7/5/13,0.2699
7/8/13,0.2686
7/9/13,0.2691
7/10/13,0.2691
7/11/13,0.2681
7/12/13,0.2676
7/15/13,0.2676
7/16/13,0.2662
7/17/13,0.2662
7/18/13,0.2662
7/19/13,0.2647
7/22/13,0.2647
7/23/13,0.2659
7/24/13,0.2643
7/25/13,0.2638
7/26/13,0.265
7/29/13,0.266
7/30/13,0.265
7/31/13,0.2656
8/1/13,0.2656
8/2/13,0.2666
8/5/13,0.2654
8/6/13,0.2664
8/7/13,0.2664
8/8/13,0.2647
8/9/13,0.2647
8/12/13,0.2647
8/13/13,0.2642
8/14/13,0.2632
8/15/13,0.2632
8/16/13,0.2641
8/19/13,0.2631
8/20/13,0.2621
8/21/13,0.2621
8/22/13,0.2621
8/23/13,0.2621
8/27/13,0.2594
8/28/13,0.2605
8/29/13,0.2612
8/30/13,0.2595
9/2/13,0.2595
9/3/13,0.2595
9/4/13,0.259
9/5/13,0.2581
9/6/13,0.2564
9/9/13,0.2559
9/10/13,0.2559
9/11/13,0.2544
9/12/13,0.2544
9/13/13,0.2539
9/16/13,0.25185
9/17/13,0.25195
9/18/13,0.25245
9/19/13,0.2502
9/20/13,0.2496
9/23/13,0.2506
9/24/13,0.2502
9/25/13,0.2476
9/26/13,0.2481
9/27/13,0.24835
9/30/13,0.24885
10/1/13,0.24585
10/2/13,0.24435
10/3/13,0.24285
10/4/13,0.24285
10/7/13,0.24335
10/8/13,0.2436
10/9/13,0.2456
10/10/13,0.2431
10/11/13,0.2436
10/14/13,0.2458
10/15/13,0.24355
10/16/13,0.24605
10/17/13,0.24205
10/18/13,0.24055
10/21/13,0.2386
10/22/13,0.23835
10/23/13,0.23835
10/24/13,0.2381
10/25/13,0.23685
10/28/13,0.23585
10/29/13,0.23745
10/30/13,0.2419
10/31/13,0.242
11/1/13,0.23775
11/4/13,0.2381
11/5/13,0.2377
11/6/13,0.23865
11/7/13,0.2389
11/8/13,0.2394
11/11/13,0.23925
11/12/13,0.23925
11/13/13,0.2406
11/14/13,0.23845
11/15/13,0.2381
11/18/13,0.23735
11/19/13,0.2391
11/20/13,0.2381
11/21/13,0.2376
11/22/13,0.2366
11/25/13,0.23585
11/26/13,0.2366
11/27/13,0.2376
11/28/13,0.2391
11/29/13,0.2391
12/2/13,0.23885
12/3/13,0.2413
12/4/13,0.24185
12/5/13,0.2416
12/6/13,0.24085
12/9/13,0.2426
12/10/13,0.24185
12/11/13,0.24385
12/12/13,0.24285
12/13/13,0.24385
12/16/13,0.24285
12/17/13,0.24435
12/18/13,0.2451
12/19/13,0.24585
12/20/13,0.24835
12/23/13,0.24585
12/24/13,0.24685
12/27/13,0.2466
12/30/13,0.2466
12/31/13,0.2461
1/2/14,0.24285
1/3/14,0.23985
1/6/14,0.23935
1/7/14,0.2421
1/8/14,0.2404
1/9/14,0.24165
1/10/14,0.24165
1/13/14,0.2389
1/14/14,0.23675
1/15/14,0.23785
1/16/14,0.23635
1/17/14,0.2366
1/20/14,0.2371
1/21/14,0.2366
1/22/14,0.2371
1/23/14,0.2386
1/24/14,0.23535
1/27/14,0.2361
1/28/14,0.2361
1/29/14,0.2356
1/30/14,0.2376
1/31/14,0.2366
2/3/14,0.2356
2/4/14,0.23645
2/5/14,0.23635
2/6/14,0.23685
2/7/14,0.23385
2/10/14,0.23385
2/11/14,0.2366
2/12/14,0.2361
2/13/14,0.23585
2/14/14,0.23585
2/17/14,0.2351
2/18/14,0.23455
2/19/14,0.2336
2/20/14,0.2356
2/21/14,0.23485
2/24/14,0.23435
2/25/14,0.2336
2/26/14,0.2333
2/27/14,0.2361
2/28/14,0.23565
3/3/14,0.23565
3/4/14,0.23535
3/5/14,0.2344
3/6/14,0.2351
3/7/14,0.23565
3/10/14,0.23435
3/11/14,0.2333
3/12/14,0.2341
3/13/14,0.23335
3/14/14,0.23485
3/17/14,0.23445
3/18/14,0.23485
3/19/14,0.23385
3/20/14,0.2336
3/21/14,0.23285
3/24/14,0.2351
3/25/14,0.23435
3/26/14,0.23335
3/27/14,0.2336
3/28/14,0.23335
3/31/14,0.2306
4/1/14,0.2281
4/2/14,0.2301
4/3/14,0.23035
4/4/14,0.2296
4/7/14,0.22935
4/8/14,0.2273
4/9/14,0.22755
4/10/14,0.22705
4/11/14,0.22645
4/14/14,0.22865
4/15/14,0.22635
4/16/14,0.22785
4/17/14,0.22585
4/22/14,0.2286
4/23/14,0.22875
4/24/14,0.22785
4/25/14,0.2266
4/28/14,0.22485
4/29/14,0.22535
4/30/14,0.22335
5/1/14,0.22285
5/2/14,0.22285
5/6/14,0.22485
5/7/14,0.22395
5/8/14,0.22335
5/9/14,0.2241
5/12/14,0.2251
5/13/14,0.22385
5/14/14,0.22535
5/15/14,0.22585
5/16/14,0.2286
5/19/14,0.22695
